[06/11/25 15:40:21] | DEBUG | CALL go_to_vial(16)
[06/11/25 16:18:36] | DEBUG | CALL go_to_vial(16)
[06/11/25 16:18:36] | DEBUG | CALL go_to_vial(16)
[06/11/25 16:18:36] | DEBUG | CALL move_xy(np.float64(35.5), np.float64(273.75), rack_num=1)
[06/11/25 16:18:37] | DEBUG | RETURN move_xy -> 'Moved to X=35.5, Y=273.75. Result: No valid response received.' (Duration: 0.547s)
[06/11/25 16:18:37] | DEBUG | RETURN go_to_vial -> (np.float64(35.5), np.float64(273.75)) (Duration: 0.548s)
[06/11/25 16:18:37] | DEBUG | RETURN go_to_vial -> (np.float64(35.5), np.float64(273.75)) (Duration: 0.554s)
[06/11/25 16:19:03] | DEBUG | CALL home()
[06/11/25 16:19:03] | DEBUG | CALL move_z(120)
[06/11/25 16:19:04] | DEBUG | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.501s)
[06/11/25 16:19:04] | DEBUG | RETURN home -> None (Duration: 1.009s)
[06/11/25 16:19:54] | DEBUG | CALL move_z(10)
[06/11/25 16:19:55] | DEBUG | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.533s)
[06/11/25 16:20:43] | DEBUG | CALL home()
[06/11/25 16:20:44] | DEBUG | CALL move_z(120)
[06/11/25 16:20:44] | DEBUG | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.535s)
[06/11/25 16:20:44] | DEBUG | RETURN home -> None (Duration: 1.072s)
[06/11/25 16:21:09] | DEBUG | CALL go_to_vial(10)
[06/11/25 16:21:09] | DEBUG | CALL go_to_vial(10)
[06/11/25 16:21:09] | DEBUG | CALL move_xy(np.float64(35.5), np.float64(167.13), rack_num=1)
[06/11/25 16:21:09] | DEBUG | RETURN move_xy -> 'Moved to X=35.5, Y=167.13. Result: No valid response received.' (Duration: 0.550s)
[06/11/25 16:21:09] | DEBUG | RETURN go_to_vial -> (np.float64(35.5), np.float64(167.13)) (Duration: 0.551s)
[06/11/25 16:21:09] | DEBUG | RETURN go_to_vial -> (np.float64(35.5), np.float64(167.13)) (Duration: 0.551s)
[06/11/25 16:21:17] | DEBUG | CALL move_into_vial()
[06/11/25 16:21:17] | DEBUG | CALL move_into_vial()
[06/11/25 16:21:17] | DEBUG | CALL move_z(11.0, allow_in_vial=True)
[06/11/25 16:21:17] | DEBUG | RETURN move_z -> 'Moved Z to 11.0. Result: No valid response received.' (Duration: 0.547s)
[06/11/25 16:21:17] | DEBUG | RETURN move_into_vial -> None (Duration: 0.547s)
[06/11/25 16:21:17] | DEBUG | RETURN move_into_vial -> None (Duration: 0.547s)
[06/11/25 16:21:31] | DEBUG | CALL move_xy(100, 100)
[06/11/25 16:21:31] | DEBUG | CALL move_z(45, rack_num=None)
[06/11/25 16:21:31] | DEBUG | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.524s)
[06/11/25 16:21:32] | DEBUG | RETURN move_xy -> 'Moved to X=100, Y=100. Result: No valid response received.' (Duration: 1.070s)
[06/11/25 16:21:44] | DEBUG | CALL go_to_vial(25)
[06/11/25 16:21:44] | DEBUG | CALL go_to_vial(25)
[06/11/25 16:21:44] | DEBUG | CALL move_xy(np.float64(52.04), np.float64(158.24499999999998), rack_num=1)
[06/11/25 16:21:44] | DEBUG | RETURN move_xy -> 'Moved to X=52.04, Y=158.24499999999998. Result: Move XY: 2, Success' (Duration: 0.501s)
[06/11/25 16:21:44] | DEBUG | RETURN go_to_vial -> (np.float64(52.04), np.float64(158.24499999999998)) (Duration: 0.501s)
[06/11/25 16:21:44] | DEBUG | RETURN go_to_vial -> (np.float64(52.04), np.float64(158.24499999999998)) (Duration: 0.502s)
[06/11/25 16:21:55] | DEBUG | CALL move_into_vial()
[06/11/25 16:21:55] | DEBUG | CALL move_into_vial()
[06/11/25 16:21:55] | DEBUG | CALL move_z(11.0, allow_in_vial=True)
[06/11/25 16:21:56] | DEBUG | RETURN move_z -> 'Moved Z to 11.0. Result: No valid response received.' (Duration: 0.554s)
[06/11/25 16:21:56] | DEBUG | RETURN move_into_vial -> None (Duration: 0.555s)
[06/11/25 16:21:56] | DEBUG | RETURN move_into_vial -> None (Duration: 0.555s)
[06/11/25 16:22:06] | DEBUG | CALL go_to_vial(60)
[06/11/25 16:22:06] | DEBUG | CALL go_to_vial(60)
[06/11/25 16:22:06] | DEBUG | CALL move_z(45.0)
[06/11/25 16:22:06] | DEBUG | RETURN move_z -> 'Moved Z to 45.0. Result: Move Z: 2, Success' (Duration: 0.549s)
[06/11/25 16:22:06] | DEBUG | CALL move_xy(np.float64(85.12), np.float64(211.55499999999998), rack_num=1)
[06/11/25 16:22:07] | DEBUG | RETURN move_xy -> 'Moved to X=85.12, Y=211.55499999999998. Result: No valid response received.' (Duration: 0.554s)
[06/11/25 16:22:07] | DEBUG | RETURN go_to_vial -> (np.float64(85.12), np.float64(211.55499999999998)) (Duration: 1.104s)
[06/11/25 16:22:07] | DEBUG | RETURN go_to_vial -> (np.float64(85.12), np.float64(211.55499999999998)) (Duration: 1.104s)
